DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0023-BGD,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009khm,,BGD,Bangladesh,Southern Asia,Asia,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,No,No,No,,4.3,Richter,21.431,91.762,,2000,1,2,2000,1,2,,,1000,,1000,,,,,,,56.5142905592776,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2011-04-07,2023-09-25
2000-0051-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009mz6,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Kashmar, Bardeskan districts (Khorasan)",,,No,No,No,,5.3,Richter,35.288,58.218,,2000,2,2,2000,2,2,1,15,1500,500,2015,,,,,,,56.5142905592776,"[{""adm2_code"":40901,""adm2_name"":""Bardeskan""},{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2014-03-07,2023-09-25
2000-0065-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009ne8,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Mohammadieh, Sarhozak, Hajiabad areas (Kashmar district, Khorasan province)",,,No,No,No,,4.9,Richter,35.217,58.175,,2000,2,14,2000,2,14,,,1000,,1000,,,,,,,56.5142905592776,"[{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2003-07-01,2023-09-25
2001-0033-IND,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a8ds,,IND,India,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",,,Yes,No,No,118929,7.7,Richter,23.419,70.232,,2001,1,26,2001,1,26,20005,166812,4365000,1790000,6321812,,,100000,172083,2623000,4513739,58.1114743743821,"[{""adm2_code"":17635,""adm2_name"":""Ahmadabad""},{""adm2_code"":17636,""adm2_name"":""Amreli""},{""adm2_code"":17637,""adm2_name"":""Banas Kantha""},{""adm2_code"":17638,""adm2_name"":""Bharuch""},{""adm2_code"":17639,""adm2_name"":""Bhavnagar""},{""adm2_code"":17640,""adm2_name"":""Gandhinagar""},{""adm2_code"":17641,""adm2_name"":""Jamnagar""},{""adm2_code"":17642,""adm2_name"":""Junagadh""},{""adm2_code"":17643,""adm2_name"":""Kachchh""},{""adm2_code"":17644,""adm2_name"":""Kheda""},{""adm2_code"":17645,""adm2_name"":""Mahesana""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17648,""adm2_name"":""Sabar Kantha""},{""adm2_code"":17649,""adm2_name"":""Surat""},{""adm2_code"":17650,""adm2_name"":""Surendranagar""},{""adm2_code"":17652,""adm2_name"":""Vadodara""},{""adm2_code"":70124,""adm2_name"":""Anand""},{""adm2_code"":70125,""adm2_name"":""Dahod""},{""adm2_code"":70127,""adm2_name"":""Navsari""},{""adm2_code"":70129,""adm2_name"":""Patan""},{""adm2_code"":70130,""adm2_name"":""Porbandar""}]",2014-04-04,2023-09-25
2001-0033-PAK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a8ds,,PAK,Pakistan,Southern Asia,Asia,"Badin District, Tharparkar District, Mirpur Khas District districts (Sindh province)",,,Yes,No,No,215,7.7,Richter,23.419,70.232,,2001,1,26,2001,1,26,12,100,914192,,914292,,,,,500,860,58.1114743743821,"[{""adm2_code"":23681,""adm2_name"":""Badin District""},{""adm2_code"":40399,""adm2_name"":""Mirpur Khas District""},{""adm2_code"":40405,""adm2_name"":""Tharparkar District""}]",2014-04-04,2023-09-25
2001-0086-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000aaae,,AFG,Afghanistan,Southern Asia,Asia,Fayzabad district (Badakhshan province),,,No,No,No,,6.2,Richter,36.424,70.881,,2001,2,25,2001,2,25,,,,,,,,,,,,58.1114743743821,"[{""adm2_code"":100007,""adm2_name"":""Fayzabad""}]",2003-07-01,2023-09-25
2001-0233-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000afvt,,AFG,Afghanistan,Southern Asia,Asia,"Panjsher, Parwan, Kapisa provinces",,,No,No,No,,5,Richter,35.169,69.389,,2001,6,1,2001,6,1,4,20,,250,270,,,,,,,58.1114743743821,"[{""adm1_code"":286,""adm1_name"":""Kapisa""},{""adm1_code"":99879,""adm1_name"":""Panjsher""},{""adm1_code"":99880,""adm1_name"":""Parwan""}]",2004-03-23,2023-09-25
2001-0750-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000aqec,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Birjand district (Khorasan province),,,No,No,No,,4.9,Richter,33.007,60.276,,2001,10,8,2001,10,8,,,1000,,1000,,,,,,,58.1114743743821,"[{""adm2_code"":40909,""adm2_name"":""Birjand""}]",2008-05-08,2023-09-25
2002-0107-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ayn7,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Dashty district (Bushehr province),,,No,No,No,,5.4,Richter,28.093,51.755,,2002,2,17,2002,2,17,1,30,750,,780,,,,,,,59.0331440786142,"[{""adm2_code"":40928,""adm2_name"":""Dashty""}]",2014-03-07,2023-09-25
2002-0122-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000azhb,,AFG,Afghanistan,Southern Asia,Asia,"Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province)",,"Slide (land, mud, snow, rock)",No,No,No,,6.3,Richter,36.429,70.438,,2002,3,3,2002,3,3,150,13,3500,,3513,,,,,,,59.0331440786142,"[{""adm2_code"":3456,""adm2_name"":""Wakhan""},{""adm2_code"":99997,""adm2_name"":""Yawan""},{""adm2_code"":100013,""adm2_name"":""Baharak""},{""adm2_code"":100015,""adm2_name"":""Jorm""},{""adm2_code"":3585,""adm2_name"":""Kabul""},{""adm2_code"":3724,""adm2_name"":""Aybak""},{""adm2_code"":3727,""adm2_name"":""Khuram Wa Sarbagh""},{""adm2_code"":3743,""adm2_name"":""Rostaq""}]",2014-02-28,2023-09-25
