Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2000,India,IND,Storm,Tropical cyclone,Andhra Pradesh province,,,,
2000,India,IND,Storm,Tropical cyclone,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",,,30000.0,30000.0
2001,India,IND,Storm,Lightning/Thunderstorms,Uttar Pradesh province,21.0,,,
2001,India,IND,Storm,Tropical cyclone,Andhra Pradesh province,78.0,,25000.0,27000.0
2001,India,IND,Storm,Tropical cyclone,"Gujarat, Goa, Maharashtra, Kerala provinces",,,,
2002,India,IND,Storm,Tropical cyclone,West Bengal province,9.0,50.0,,5050.0
2002,India,IND,Storm,Hail,Orissa province,,200.0,10000.0,10200.0
2002,India,IND,Storm,Lightning/Thunderstorms,"Gobalpur area (Hugli district, West Bengal), Kolkata, Jalpaiguri, Darjiling districts (West Bengal province)",11.0,,,
2002,India,IND,Storm,Tropical cyclone,"Baleshwar, Bhadrak, Jagatsinghpur, Kendrapara districts (Orissa province), East Midnapore, North 24 Parganas, South 24 Parganas (West Bengal province)",124.0,,,
2003,India,IND,Storm,Storm (General),Betul district (Madhya Pradesh province),20.0,,,200.0
2003,India,IND,Storm,Storm (General),"Jammu and Kashmir (40424 to 40431), Punjab, Haryana provinces",14.0,4.0,,4.0
2003,India,IND,Storm,Tropical cyclone,Gujarat province,5.0,,140.0,140.0
2003,India,IND,Storm,Hail,"Bankura, Hugli, Haora districts (West Bengal province)",30.0,500.0,294765.0,485910.0
2003,India,IND,Storm,Tropical cyclone,"Chirakhawa, Chirakhawa Topopara, Peepulbari part 1, Peepulbari part 2, Bhurakata, Baliabeel, Bengerbhita, Baushkata areas (Dhuburi district, Assam province)",45.0,4000.0,,4600.0
2003,India,IND,Storm,Tropical cyclone,"Mekhliganj, Haldibari, Fukaldabri, Nijtaraf, Kasiabari, Bholarhat, Beltali areas (Kochbihar district, West Bengal province)",,60.0,,460.0
2003,India,IND,Storm,Tropical cyclone,"Krishna, Guntur, West Godavari districts (Andhra Pradesh province)",50.0,,,40000.0
2005,India,IND,Storm,Storm (General),"Barddhaman, North 24 Parganas, South 24 Parganas districts (West Bengal province)",18.0,50.0,,7550.0
2005,India,IND,Storm,Storm (General),"Guntur, Krishna, Srikakulam, Karimnagar, Nalgonda districts (Andhra Pradesh province)",20.0,20.0,,20.0
2005,India,IND,Storm,Storm (General),Kolkata district (West Bengal province),11.0,20.0,,20.0
2005,India,IND,Storm,Storm (General),"Andhra Pradesh, Orissa provinces",33.0,,11000.0,61000.0
2006,India,IND,Storm,Tropical cyclone,"Andhra Pradesh, West Bengal, Bihar provinces",114.0,300.0,,150300.0
2006,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Gujarat provinces",76.0,,,
2007,India,IND,Storm,Tropical cyclone,"West Bengal, Orissa provinces",,,,
2008,India,IND,Storm,Sand/Dust storm,Uttar Pradesh province,111.0,50.0,,50.0
2009,India,IND,Storm,Tornado,Kendrapara district (Orissa province),15.0,50.0,5000.0,9050.0
