Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2000,India,IND,Flood,Flash flood,"Arunachal_Pradesh,Assam, ",20,,3000000,3000000
2000,India,IND,Flood,Flash flood,"Arunachal_Pradesh,",130,,,
2000,India,IND,Flood,Riverine flood,"Bihar,Himachal_Pradesh,West_Bengal,Uttarakhand,Gujarat,Andhra_Pradesh,Assam,Arunachal_Pradesh,Madhya_Pradesh,Punjab,Uttar_Pradesh,Maharashtra,Rajasthan,Chandigarh,Kerala,",867,,22000000,22000000
2000,India,IND,Flood,Flash flood,"Andhra_Pradesh,",179,16,,252016
2000,India,IND,Flood,Riverine flood,"West_Bengal,Jharkhand,Bihar,",884,,24600000,24600000
2000,India,IND,Flood,Flood (General),"West_Bengal,",6,,534035,534035
2001,India,IND,Flood,Riverine flood,"Assam,Tripura,",5,,700000,700000
2001,India,IND,Flood,Riverine flood,"Odisha,Chhattisgarh,",100,,9670000,9670000
2001,India,IND,Flood,Flood (General),"Kerala,Maharashtra,",28,4,,4
2001,India,IND,Flood,Riverine flood,"Kerala,",86,,40000,40000
2001,India,IND,Flood,Riverine flood,"Bihar,",,,400000,400000
2001,India,IND,Flood,Flood (General),"New_Delhi,",10,36,,36
2001,India,IND,Flood,Flood (General),"Bihar,",158,,7000000,7000000
2001,India,IND,Flood,Flash flood,"Bihar,Uttar_Pradesh,",48,,2800000,2800000
2001,India,IND,Flood,Flood (General),"Bihar,",146,,,
2002,India,IND,Flood,Riverine flood,"Assam,Bihar,Himachal_Pradesh,Madhya_Pradesh,Uttarakhand,Andhra_Pradesh,West_Bengal,Meghalaya,Tripura,Arunachal_Pradesh,Gujarat,Kerala,Manipur,Maharashrta,",549,,42000000,42000000
2002,India,IND,Flood,Riverine flood,"Bihar,Assam,Manipur,",33,50,,50
2002,India,IND,Flood,Riverine flood,"Madhya_Pradesh,",100,,3000,3000
2002,India,IND,Flood,Riverine flood,"Gujarat,Maharashtra,",22,,5000,5000
2002,India,IND,Flood,Riverine flood,"Kerala,",11,,,
2002,India,IND,Flood,Flood (General),"Tamil_Nadu,",20,,200,200
2003,India,IND,Flood,Riverine flood,"Assam,Bihar,Tripura,West_Bengal,",142,,4550000,4550000
