Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2000,India,IND,Storm,Tropical cyclone,"Costal_Andhra_Pradesh,",,,,
2000,India,IND,Storm,Tropical cyclone,"Nagappattinam,Thanjavur,Sirkali,Papanasam,Tiruvallur,Tiruvarur,Coastal_Tamil_Nadu,Coastal_Andhra Pradesh,",,,30000,30000
2001,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,",21,,,
2001,India,IND,Storm,Tropical cyclone,"Coastal_Andhra_Pradesh,",78,,25000,27000
2001,India,IND,Storm,Tropical cyclone,"Gujarat,Goa,Maharashtra,Kerala,",,,,
2002,India,IND,Storm,Tropical cyclone,"Coastal_West_Bengal,",9,50,,5050
2002,India,IND,Storm,Hail,"Coastal_Odisha,",,200,10000,10200
2002,India,IND,Storm,Lightning/Thunderstorms,"Hooghly,Coastal_West_Bengal,Kolkata,Jalpaiguri,Darjiling,Hill_West_Bengal,",11,,,
2002,India,IND,Storm,Tropical cyclone,"Baleshwar,Bhadrak,Jagatsinghpur,Kendrapara,Coastal_Odisha,East_Midnapore,North_24_Parganas,South_24_Parganas,Coastal_West_Bengal,",124,,,
2003,India,IND,Storm,Storm (General),"Betul,Madhya_Pradesh,",20,,,200
2003,India,IND,Storm,Storm (General),"Jammu_Kashmir,Punjab,Haryana,",14,4,,4
2003,India,IND,Storm,Tropical cyclone,"Gujarat,",5,,140,140
2003,India,IND,Storm,Hail,"Bankura,Hooghly,Howrah,",30,500,294765,485910
2003,India,IND,Storm,Tropical cyclone,"Chirakhawa,Chirakhawa_Topopara,Peepulbari,Bhurakata,Baliabeel,Bengerbhita,Baushkata,Hill_Assam,",45,4000,,4600
2003,India,IND,Storm,Tropical cyclone,"Mekhliganj,Haldibari,Fukaldabri,Nijtaraf,Kasiabari,Bholarhat,Beltali,CoochBehar,",,60,,460
2003,India,IND,Storm,Tropical cyclone,"Krishna,Guntur,West_Godavari,Coastal_Andhra_Pradesh,",50,,,40000
2005,India,IND,Storm,Storm (General),"Barddhaman,North_24_Parganas,South_24_Parganas,Coastal_West_Bengal,",18,50,,7550
2005,India,IND,Storm,Storm (General),"Guntur,Krishna,Srikakulam,Karimnagar,Nalgonda,Coastal_Andhra_Pradesh,",20,20,,20
2005,India,IND,Storm,Storm (General),"Kolkata,",11,20,,20
2005,India,IND,Storm,Storm (General),"Coastal_Andhra_Pradesh,Coastal_Odisha,",33,,11000,61000
2006,India,IND,Storm,Tropical cyclone,"Coastal_Andhra_Pradesh,Coastal_West_Bengal,Bihar,",114,300,,150300
2006,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Gujarat,",76,,,
2007,India,IND,Storm,Tropical cyclone,"Coastal_West_Bengal,Coastal_Odisha,",,,,
2008,India,IND,Storm,Sand/Dust storm,"Uttar_Pradesh,",111,50,,50
