Regions,Frequency,StateNames
Anantapur,3,Andhra Pradesh
Chittoor,3,Andhra Pradesh
Cuddapah,6,Andhra Pradesh
East Godavari,5,Andhra Pradesh
Gangavaram,1,Andhra Pradesh
Guntur,10,Andhra Pradesh
Krishna,11,Andhra Pradesh
Kurnool,4,Andhra Pradesh
Mandasa,1,Andhra Pradesh
Nellore,8,Andhra Pradesh
Prakasam,6,Andhra Pradesh
Srikakulam,4,Andhra Pradesh
Tezu,1,Andhra Pradesh
Vellore,1,Andhra Pradesh
Vishakhapatnam,6,Andhra Pradesh
Vizianagaram,2,Andhra Pradesh
West Godavari,7,Andhra Pradesh
Along,1,Arunachal Pradesh
Anini,1,Arunachal Pradesh
Anjaw,2,Arunachal Pradesh
Boleng ,1,Arunachal Pradesh
Changlang,2,Arunachal Pradesh
East Siang,4,Arunachal Pradesh
Komlighat,1,Arunachal Pradesh
Lohit,3,Arunachal Pradesh
Lower Dibang Valley,3,Arunachal Pradesh
Papum Pare,2,Arunachal Pradesh
Pasighat,1,Arunachal Pradesh
Raneghat,1,Arunachal Pradesh
Seppa,1,Arunachal Pradesh
Sikabamin,1,Arunachal Pradesh
Upper Siang,3,Arunachal Pradesh
West Siang,2,Arunachal Pradesh
Yingkiong,2,Arunachal Pradesh
Baksa,2,Assam
Baliabeel,1,Assam
Barpeta,10,Assam
Baushkata,1,Assam
Bengerbhita,1,Assam
Bhuragaon,1,Assam
Bhurakata,1,Assam
Biswanath,3,Assam
Bongaigaon,9,Assam
Cachar,7,Assam
Charaideo,2,Assam
Chirakhawa,2,Assam
Chirang,2,Assam
Darrang,14,Assam
Dhemaji,16,Assam
Dhubri,10,Assam
Dibrugarh,8,Assam
Goalpara,12,Assam
Golaghat,11,Assam
Guwahati,1,Assam
Hailakandi,3,Assam
Hojai,2,Assam
Jorhat,13,Assam
Kamrup,9,Assam
Karbi Anglong,4,Assam
Karimganj,8,Assam
Kokrajhar,7,Assam
Majuli,2,Assam
Marigaon,6,Assam
Morigaon,4,Assam
Mushalpur,1,Assam
Nagaon,8,Assam
Nalbari,9,Assam
Dima Hasao,1,Assam
Patharkandi,1,Assam
Sibsaga,1,Assam
Sibsagar,6,Assam
Silchar,1,Assam
Sivasagar,3,Assam
Sonitpur,11,Assam
Sontipur,1,Assam
South Assam,1,Assam
South Salmara,2,Assam
Tinsukia,7,Assam
Topopara,1,Assam
Udalguri,1,Assam
West Karbi Anglong,1,Assam
Araria,7,Bihar
Begusarai,5,Bihar
Bhabua,1,Bihar
Bhagalpur,9,Bihar
Bhojpur,4,Bihar
