DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0009-IRN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Gilan province,,Fire,No,No,No,,120,Kph,,,,2000,1,18,2000,1,18,3,,,5500,5500,,,,,,,56.5142905592776,"[{""adm1_code"":1545,""adm1_name"":""Gilan""}]",2003-07-01,2023-09-25
2000-0146-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Natore district (Rajshahi province),,,No,No,No,,,Kph,,,,2000,3,5,2000,3,5,,50,,3000,3050,,,,,,,56.5142905592776,"[{""adm2_code"":5812,""adm2_name"":""Natore""}]",2005-04-24,2023-09-25
2000-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",,,No,No,No,,120,Kph,,,,2000,4,21,2000,4,21,20,300,,62500,62800,,,,,,,56.5142905592776,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2005-04-24,2023-09-25
2000-0229-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",,,No,No,No,,80,Kph,,,,2000,4,11,2000,4,11,,12,,7000,7012,,,,,,,56.5142905592776,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""}]",2003-07-01,2023-09-25
2000-0283-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",,Flood,No,No,No,161,70,Kph,,,"Sangu, Matamuhuri",2000,5,27,2000,6,19,36,,70000,1000,71000,,,,,,,56.5142905592776,"[{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5771,""adm2_name"":""Comilla""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5794,""adm2_name"":""Tangail""}]",2004-10-25,2023-09-25
2000-0294-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Chittagong province,,,No,No,No,,,Kph,,,,2000,5,23,2000,5,23,28,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":576,""adm1_name"":""Chittagong""}]",2003-07-01,2023-09-25
2000-0323-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh province,,,No,No,No,4812,100,Kph,,,,2000,10,17,2000,10,17,,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""}]",2003-07-01,2023-09-25
2000-0631-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)",,,No,No,No,,,Kph,,,,2000,6,25,2000,6,25,,37,2500,,2537,,,,,,,56.5142905592776,"[{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""}]",2003-07-01,2023-09-25
2000-0713-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",,,No,No,No,,100,Kph,,,,2000,10,28,2000,10,28,15,200,,,200,,,,,,,56.5142905592776,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5764,""adm2_name"":""Jhalokati""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5775,""adm2_name"":""Lakshmipur""},{""adm2_code"":5776,""adm2_name"":""Noakhali""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5799,""adm2_name"":""Khulna""}]",2003-07-01,2023-09-25
2000-0785-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,03B,IND,India,Southern Asia,Asia,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",,,No,No,No,,120,Kph,,,,2000,11,29,2000,11,29,,,30000,,30000,,,,,,,56.5142905592776,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""},{""adm2_code"":70243,""adm2_name"":""Cuddalore""}]",2003-07-01,2023-09-25
