Year,WBCRInc,WBCRAffect,WBBudgetRs
2000,0,0,331500000.00
2001,0,0,4000000.00
2002,3,5050,1300000000.00
2003,1,323940,395481525.00
2004,0,0,398153458.00
2005,2,2536,1008328695.00
2006,1,37575,2499309042.00
2007,1,,4525991269.00
2008,0,0,2741123096.00
2009,1,1700000,5508826070.00
2010,1,166666,2615660253.00
2011,0,0,3519090512.00
2012,0,0,1507566563.00
2013,1,2205000,3161989419.00
2014,1,,2498573035.00
2015,1,,209830000.00
2016,0,0,1367100000.00
2017,0,0,13976105085.00
2018,3,29050,5778713954.00
2019,1,21666,8341655224.00
2020,1,2571428,24321578069.00
